Word,Valence,Arousal,Dominance
defensible,0.74,0.509,0.293
defensive,0.542,0.64,0.293
defer,0.245,0.459,0.293
deference,0.51,0.396,0.293
deferral,0.765,0.542,0.293
deferring,0.343,0.5,0.293
defiance,0.333,0.78,0.293
defiant,0.25,0.792,0.293
defibrillator,0.398,0.663,0.293
deficiency,0.073,0.373,0.293
deficient,0.24,0.464,0.293
deficit,0.358,0.5,0.293
define,0.688,0.415,0.293
defined,0.67,0.214,0.293
definite,0.708,0.292,0.293
definition,0.573,0.375,0.293
definitive,0.583,0.479,0.293
deflate,0.148,0.404,0.293
deflation,0.287,0.536,0.293
deflect,0.133,0.491,0.293
deflection,0.188,0.5,0.293
defloration,0.188,0.69,0.293
deform,0.112,0.654,0.293
deformed,0.198,0.435,0.293
deformity,0.16,0.569,0.293
defraud,0.175,0.635,0.293
defray,0.375,0.598,0.293
defrost,0.427,0.317,0.293
deft,0.719,0.575,0.293
defunct,0.112,0.491,0.293
defuse,0.167,0.48,0.293
defy,0.353,0.884,0.293
degeneracy,0.143,0.72,0.293
degenerate,0.069,0.724,0.293
degeneration,0.245,0.578,0.293
degradation,0.16,0.608,0.293
degrade,0.083,0.5,0.293
degraded,0.167,0.433,0.293
degrading,0.031,0.583,0.293
degree,0.724,0.365,0.293
dehydrated,0.31,0.685,0.293
dehydration,0.188,0.472,0.293
dejected,0.104,0.654,0.293
delay,0.204,0.51,0.293
delayed,0.188,0.49,0.293
delectable,0.781,0.642,0.293
delegate,0.612,0.491,0.293
delegation,0.562,0.431,0.293
delete,0.292,0.298,0.293
deleterious,0.297,0.725,0.293
deletion,0.062,0.506,0.293
deli,0.561,0.448,0.293
deliberate,0.551,0.654,0.293
deliberation,0.561,0.678,0.293
deliberative,0.392,0.552,0.293
delicacy,0.812,0.279,0.293
delicate,0.583,0.294,0.293
delicatessen,0.656,0.474,0.293
delicious,0.927,0.65,0.293
delight,0.949,0.666,0.293
delighted,0.938,0.664,0.293
delightful,0.918,0.735,0.293
delineate,0.448,0.43,0.293
delineation,0.521,0.402,0.293
delinquency,0.135,0.86,0.293
delinquent,0.051,0.904,0.293
delirious,0.219,0.774,0.293
delirium,0.233,0.694,0.293
deliver,0.583,0.37,0.293
deliverance,0.75,0.52,0.293
delivery,0.704,0.461,0.293
dell,0.458,0.38,0.293
delta,0.551,0.343,0.293
delude,0.143,0.627,0.293
deluge,0.245,0.714,0.293
delusion,0.344,0.647,0.293
delusional,0.219,0.745,0.293
deluxe,0.792,0.612,0.293
delve,0.469,0.529,0.293
demand,0.292,0.673,0.293
demanding,0.396,0.75,0.293
demeaned,0.271,0.52,0.293
demeaning,0.104,0.645,0.293
demeanor,0.633,0.433,0.293
demented,0.088,0.787,0.293
dementia,0.092,0.779,0.293
demise,0.104,0.596,0.293
demo,0.51,0.314,0.293
democracy,0.68,0.5,0.293
democrat,0.582,0.4,0.293
democratic,0.802,0.519,0.293
demographic,0.459,0.356,0.293
demolish,0.125,0.632,0.293
demolished,0.271,0.647,0.293
demolition,0.133,0.827,0.293
demon,0.037,0.908,0.293
demonic,0.146,0.875,0.293
demonstrable,0.735,0.471,0.293
demonstrate,0.771,0.552,0.293
demonstrated,0.617,0.5,0.293
demonstrating,0.698,0.571,0.293
demonstration,0.551,0.676,0.293
demonstrative,0.656,0.528,0.293
demonstrator,0.52,0.598,0.293
demoralized,0.082,0.59,0.293
demos,0.418,0.37,0.293
demure,0.69,0.315,0.293
den,0.51,0.347,0.293
deniability,0.23,0.509,0.293
denial,0.194,0.435,0.293
denied,0.188,0.604,0.293
denim,0.52,0.382,0.293
denomination,0.49,0.363,0.293
denominational,0.458,0.375,0.293
denominator,0.45,0.41,0.293
denote,0.448,0.471,0.293
denounce,0.083,0.78,0.293
dense,0.354,0.343,0.293
density,0.602,0.471,0.293
dent,0.306,0.606,0.293
dental,0.573,0.404,0.293
dentist,0.479,0.62,0.293
dentistry,0.429,0.57,0.293
dentists,0.364,0.6,0.293
denunciation,0.146,0.83,0.293
deny,0.316,0.667,0.293
denying,0.08,0.542,0.293
deodorant,0.48,0.265,0.293
depart,0.398,0.48,0.293
departed,0.245,0.536,0.293
department,0.708,0.358,0.293
departmental,0.612,0.422,0.293
departure,0.573,0.5,0.293
depend,0.388,0.429,0.293
dependable,0.88,0.357,0.293
dependant,0.357,0.404,0.293
dependence,0.25,0.451,0.293
dependency,0.429,0.365,0.293
dependent,0.354,0.455,0.293
depict,0.663,0.529,0.293
depicting,0.49,0.566,0.293
depletion,0.153,0.37,0.293
deplorable,0.135,0.657,0.293
deplore,0.135,0.575,0.293
deploy,0.5,0.52,0.293
deployment,0.51,0.52,0.293
deport,0.167,0.667,0.293
deportation,0.104,0.786,0.293
depose,0.286,0.42,0.293
deposit,0.54,0.379,0.293
depositary,0.604,0.431,0.293
deposition,0.394,0.51,0.293
depository,0.551,0.373,0.293
depot,0.635,0.255,0.293
depraved,0.031,0.837,0.293
depravity,0.115,0.854,0.293
depreciate,0.27,0.623,0.293
depreciated,0.135,0.672,0.293
depreciation,0.143,0.571,0.293
depress,0.219,0.635,0.293
depressed,0.024,0.445,0.293
depressing,0.146,0.559,0.293
depression,0.031,0.52,0.293
depressive,0.143,0.434,0.293
depresson,0.135,0.4,0.293
deprivation,0.194,0.61,0.293
deprive,0.271,0.591,0.293
deprived,0.354,0.506,0.293
depth,0.708,0.561,0.293
deputy,0.429,0.53,0.293
derail,0.108,0.802,0.293
deranged,0.376,0.868,0.293
derelict,0.208,0.47,0.293
derision,0.265,0.67,0.293
derivation,0.521,0.519,0.293
derivative,0.541,0.491,0.293
derive,0.396,0.324,0.293
dermal,0.385,0.406,0.293
dermatologist,0.531,0.358,0.293
dermatology,0.422,0.5,0.293
derogation,0.208,0.46,0.293
derogatory,0.122,0.58,0.293
descend,0.385,0.535,0.293
descendant,0.684,0.42,0.293
descendent,0.391,0.48,0.293
descending,0.219,0.493,0.293
descent,0.3,0.402,0.293
describe,0.542,0.472,0.293
description,0.582,0.425,0.293
descriptive,0.667,0.352,0.293
desecrate,0.255,0.806,0.293
desecration,0.125,0.833,0.293
desert,0.469,0.279,0.293
deserted,0.156,0.48,0.293
deserter,0.122,0.71,0.293
desertion,0.122,0.63,0.293
deserve,0.802,0.436,0.293
deserved,0.781,0.582,0.293
deserving,0.802,0.596,0.293
design,0.796,0.327,0.293
designate,0.531,0.538,0.293
designated,0.5,0.412,0.293
designation,0.612,0.571,0.293
designed,0.745,0.38,0.293
designer,0.875,0.519,0.293
designing,0.792,0.355,0.293
desirability,0.684,0.55,0.293
desirable,0.74,0.735,0.293
desire,0.896,0.692,0.293
desiring,0.814,0.821,0.293
desirous,0.719,0.824,0.293
desist,0.22,0.358,0.293
desk,0.51,0.135,0.293
desolate,0.104,0.32,0.293
desolation,0.073,0.481,0.293
despair,0.115,0.794,0.293
despairing,0.073,0.735,0.293
despatch,0.448,0.4,0.293
desperado,0.26,0.745,0.293
desperate,0.083,0.842,0.293
desperation,0.125,0.904,0.293
despicable,0.146,0.71,0.293
despise,0.167,0.745,0.293
despondent,0.133,0.378,0.293
despotic,0.141,0.824,0.293
despotism,0.255,0.696,0.293
dessert,0.755,0.491,0.293
destination,0.708,0.471,0.293
destined,0.698,0.462,0.293
destiny,0.781,0.413,0.293
destitute,0.13,0.451,0.293
destroy,0.046,0.935,0.293
destroyed,0.031,0.696,0.293
destroyer,0.083,0.83,0.293
destroying,0.041,0.828,0.293
destruct,0.071,0.868,0.293
destruction,0.102,0.929,0.293
destructive,0.177,0.87,0.293
detach,0.357,0.625,0.293
detached,0.28,0.396,0.293
detachment,0.243,0.7,0.293
detail,0.514,0.406,0.293
detailed,0.603,0.314,0.293
details,0.583,0.367,0.293
detain,0.351,0.345,0.293
detainee,0.306,0.51,0.293
detect,0.531,0.52,0.293
detectable,0.479,0.539,0.293
detection,0.708,0.567,0.293
detective,0.5,0.764,0.293
detector,0.459,0.63,0.293
detention,0.265,0.698,0.293
deter,0.344,0.537,0.293
detergent,0.458,0.304,0.293
deteriorate,0.083,0.471,0.293
deteriorated,0.053,0.549,0.293
deteriorating,0.104,0.459,0.293
deterioration,0.13,0.512,0.293
determinable,0.625,0.565,0.293
determinate,0.63,0.314,0.293
determination,0.776,0.725,0.293
determine,0.612,0.368,0.293
determined,0.76,0.528,0.293
deterrent,0.292,0.461,0.293
detest,0.083,0.8,0.293
detestation,0.177,0.637,0.293
detonate,0.375,0.85,0.293
detonation,0.167,0.931,0.293
detonator,0.207,0.875,0.293
detour,0.398,0.539,0.293
detract,0.344,0.438,0.293
detriment,0.281,0.538,0.293
detrimental,0.203,0.679,0.293
detritus,0.276,0.353,0.293
deuce,0.479,0.338,0.293
deutschmark,0.439,0.431,0.293
devalued,0.321,0.462,0.293
devastate,0.021,0.796,0.293
devastated,0.12,0.544,0.293
devastating,0.104,0.856,0.293
devastation,0.09,0.904,0.293
develop,0.771,0.67,0.293
developer,0.844,0.653,0.293
developing,0.833,0.587,0.293
development,0.827,0.5,0.293
deviant,0.094,0.589,0.293
deviate,0.173,0.562,0.293
deviating,0.354,0.634,0.293
deviation,0.105,0.513,0.293
device,0.562,0.404,0.293
devil,0.161,0.9,0.293
deviled,0.347,0.559,0.293
devilish,0.073,0.865,0.293
devious,0.25,0.519,0.293
devise,0.551,0.557,0.293
devoid,0.219,0.436,0.293
devolution,0.345,0.434,0.293
devolve,0.367,0.427,0.293
devote,0.802,0.49,0.293
devoted,0.867,0.32,0.293
devotee,0.816,0.461,0.293
devotion,0.802,0.561,0.293
devotional,0.74,0.394,0.293
devour,0.344,0.888,0.293
devout,0.62,0.357,0.293
dew,0.604,0.225,0.293
dexter,0.458,0.473,0.293
dexterity,0.771,0.673,0.293
dextrose,0.333,0.402,0.293
diabetes,0.051,0.472,0.293
diabetic,0.125,0.269,0.293
diabolical,0.102,0.912,0.293
diagnose,0.378,0.52,0.293
diagnosis,0.571,0.5,0.293
diagnostic,0.417,0.483,0.293
diagnostics,0.54,0.44,0.293
diagonal,0.5,0.343,0.293
diagram,0.562,0.357,0.293
dial,0.62,0.427,0.293
dialect,0.635,0.422,0.293
dialectic,0.51,0.54,0.293
dialogue,0.599,0.441,0.293
dialysis,0.194,0.567,0.293
diameter,0.427,0.298,0.293
diamond,0.91,0.606,0.293
diamonds,0.927,0.684,0.293
diaper,0.409,0.274,0.293
diaphragm,0.459,0.337,0.293
diarrhea,0.092,0.684,0.293
diarrhoea,0.038,0.692,0.293
diary,0.698,0.292,0.293
diatribe,0.354,0.569,0.293
dib,0.479,0.37,0.293
dibs,0.51,0.41,0.293
dice,0.458,0.441,0.293
dicey,0.29,0.833,0.293
dichotomous,0.365,0.452,0.293
dichotomy,0.323,0.482,0.293
dick,0.208,0.5,0.293
dickhead,0.115,0.608,0.293
dicks,0.31,0.694,0.293
dictate,0.48,0.423,0.293
dictation,0.255,0.378,0.293
dictator,0.073,0.76,0.293
dictatorial,0.204,0.77,0.293
dictatorship,0.082,0.806,0.293
diction,0.439,0.373,0.293
dictionary,0.62,0.25,0.293
dictum,0.385,0.51,0.293
didactic,0.645,0.48,0.293
diddle,0.429,0.566,0.293
die,0.031,0.765,0.293
died,0.021,0.65,0.293
diesel,0.49,0.327,0.293
diet,0.429,0.235,0.293
dietary,0.551,0.22,0.293
differ,0.23,0.398,0.293
difference,0.474,0.56,0.293
differences,0.365,0.582,0.293
different,0.612,0.394,0.293
differential,0.52,0.378,0.293
differentiation,0.367,0.561,0.293
differently,0.48,0.431,0.293
differing,0.418,0.41,0.293
difficult,0.235,0.7,0.293
difficulties,0.082,0.784,0.293
difficulty,0.079,0.74,0.293
diffuse,0.43,0.431,0.293
diffusion,0.356,0.615,0.293
dig,0.367,0.585,0.293
digest,0.72,0.413,0.293
digestion,0.531,0.41,0.293
digestive,0.542,0.413,0.293
digit,0.447,0.286,0.293
digital,0.74,0.382,0.293
dignified,0.766,0.481,0.293
dignify,0.854,0.588,0.293
dignity,0.844,0.391,0.293
digress,0.271,0.625,0.293
digs,0.448,0.67,0.293
dike,0.36,0.384,0.293
dilapidated,0.229,0.618,0.293
dilatation,0.385,0.574,0.293
dilation,0.347,0.49,0.293
dildo,0.536,0.587,0.293
dilemma,0.153,0.59,0.293
diligence,0.688,0.423,0.293
diligent,0.76,0.426,0.293
dill,0.427,0.36,0.293
diluent,0.417,0.344,0.293
dilute,0.275,0.192,0.293
diluted,0.469,0.31,0.293
dilution,0.445,0.337,0.293
dim,0.398,0.321,0.293
dime,0.653,0.317,0.293
dimension,0.592,0.415,0.293
dimensional,0.561,0.484,0.293
diminish,0.24,0.357,0.293
diminished,0.156,0.269,0.293
diminution,0.316,0.296,0.293
diminutive,0.323,0.2,0.293
dimwit,0.255,0.459,0.293
din,0.44,0.417,0.293
dine,0.821,0.519,0.293
diner,0.643,0.302,0.293
dinghy,0.51,0.269,0.293
dingo,0.608,0.472,0.293
dingy,0.156,0.483,0.293
dining,0.724,0.35,0.293
dinky,0.357,0.451,0.293
dinner,0.823,0.392,0.293
dinnertime,0.796,0.406,0.293
dinosaur,0.448,0.63,0.293
dint,0.378,0.48,0.293
diocesan,0.52,0.283,0.293
diocese,0.51,0.288,0.293
diorama,0.592,0.441,0.293
dioxide,0.354,0.433,0.293
dip,0.516,0.583,0.293
diploma,0.75,0.462,0.293
diplomacy,0.74,0.396,0.293
diplomat,0.563,0.262,0.293
diplomatic,0.653,0.363,0.293
dipper,0.548,0.361,0.293
dippy,0.43,0.402,0.293
dipstick,0.365,0.312,0.293
dire,0.214,0.66,0.293
direct,0.793,0.403,0.293
directed,0.542,0.49,0.293
direction,0.719,0.33,0.293
directive,0.604,0.53,0.293
directly,0.747,0.4,0.293
director,0.688,0.58,0.293
directory,0.439,0.413,0.293
dirt,0.112,0.5,0.293
dirty,0.153,0.46,0.293
disability,0.073,0.482,0.293
disable,0.115,0.43,0.293
disabled,0.308,0.443,0.293
disadvantage,0.15,0.377,0.293
disaffected,0.176,0.41,0.293
disagree,0.133,0.59,0.293
disagreeable,0.042,0.643,0.293
disagreeing,0.255,0.643,0.293
disagreement,0.104,0.618,0.293
disallow,0.156,0.519,0.293
disallowed,0.135,0.5,0.293
disapointment,0.104,0.418,0.293
disappear,0.143,0.441,0.293
disappearance,0.214,0.698,0.293
disappearing,0.167,0.427,0.293
disappoint,0.15,0.633,0.293
disappointed,0.071,0.472,0.293
disappointing,0.073,0.64,0.293
disappointment,0.115,0.49,0.293
disapproval,0.085,0.551,0.293
disapprove,0.16,0.594,0.293
disapproved,0.104,0.55,0.293
disapproving,0.245,0.625,0.293
disarm,0.292,0.528,0.293
disarray,0.198,0.657,0.293
disaster,0.082,0.892,0.293
disastrous,0.071,0.741,0.293
disband,0.302,0.491,0.293
disbelief,0.188,0.409,0.293
disbelieve,0.188,0.441,0.293
disburse,0.418,0.473,0.293
disbursement,0.24,0.443,0.293
disc,0.622,0.41,0.293
discard,0.24,0.343,0.293
discarded,0.229,0.46,0.293
discards,0.24,0.464,0.293
discern,0.459,0.566,0.293
discernible,0.427,0.441,0.293
discerning,0.542,0.584,0.293
discernment,0.408,0.471,0.293
discharge,0.427,0.538,0.293
disciple,0.765,0.385,0.293
disciplinary,0.562,0.593,0.293
discipline,0.615,0.471,0.293
disciplined,0.728,0.45,0.293
disclaim,0.235,0.509,0.293
disclaimer,0.367,0.571,0.293
disclose,0.49,0.57,0.293
disclosed,0.271,0.575,0.293
disclosure,0.5,0.615,0.293
disco,0.71,0.806,0.293
discoloration,0.224,0.373,0.293
discolored,0.204,0.34,0.293
discomfort,0.153,0.719,0.293
disconcerted,0.1,0.612,0.293
disconcerting,0.106,0.549,0.293
disconnect,0.438,0.292,0.293
disconnected,0.292,0.276,0.293
disconnection,0.167,0.283,0.293
disconnects,0.256,0.357,0.293
discontent,0.24,0.53,0.293
discontinuance,0.123,0.741,0.293
discontinue,0.354,0.396,0.293
discontinuity,0.303,0.439,0.293
discontinuous,0.233,0.409,0.293
discord,0.115,0.882,0.293
discount,0.724,0.53,0.293
discounted,0.677,0.471,0.293
discourage,0.184,0.443,0.293
discouraged,0.22,0.304,0.293
discouragement,0.112,0.319,0.293
discouraging,0.167,0.469,0.293
discourse,0.41,0.55,0.293
discover,0.771,0.793,0.293
discovery,0.823,0.627,0.293
discredit,0.075,0.529,0.293
discredited,0.112,0.491,0.293
discreet,0.552,0.216,0.293
discrepancy,0.26,0.643,0.293
discrete,0.585,0.231,0.293
discretion,0.552,0.32,0.293
discretionary,0.52,0.365,0.293
discriminate,0.125,0.761,0.293
discriminating,0.16,0.783,0.293
discrimination,0.051,0.724,0.293
discus,0.542,0.423,0.293
discuss,0.396,0.769,0.293
discussion,0.333,0.842,0.293
disdain,0.153,0.446,0.293
disdainful,0.097,0.48,0.293
disease,0.041,0.539,0.293
diseased,0.123,0.51,0.293
disembodied,0.167,0.62,0.293
disengage,0.406,0.529,0.293
disengagement,0.327,0.373,0.293
disfigured,0.153,0.613,0.293
disgrace,0.061,0.531,0.293
disgraced,0.071,0.661,0.293
disgraceful,0.082,0.702,0.293
disgruntled,0.104,0.658,0.293
disguise,0.573,0.694,0.293
disguised,0.5,0.615,0.293
disgust,0.052,0.775,0.293
disgusted,0.051,0.773,0.293
disgusting,0.031,0.796,0.293
dish,0.552,0.255,0.293
disheartened,0.153,0.343,0.293
disheartening,0.01,0.353,0.293
dishonest,0.191,0.491,0.293
dishonesty,0.094,0.592,0.293
dishonor,0.104,0.62,0.293
dishonorable,0.112,0.641,0.293
dishwasher,0.48,0.296,0.293
disillusionment,0.051,0.519,0.293
disinclination,0.125,0.491,0.293
disincline,0.458,0.454,0.293
disinclined,0.385,0.442,0.293
disinfect,0.448,0.388,0.293
disinfectant,0.531,0.429,0.293
disinfection,0.517,0.556,0.293
disinformation,0.23,0.577,0.293
disingenuous,0.194,0.509,0.293
disintegrate,0.143,0.66,0.293
disintegration,0.094,0.551,0.293
disinterested,0.398,0.284,0.293
disjoint,0.351,0.385,0.293
disjointed,0.323,0.518,0.293
disjunctive,0.286,0.481,0.293
disk,0.573,0.423,0.293
diskette,0.531,0.255,0.293
dislike,0.156,0.406,0.293
disliked,0.062,0.51,0.293
disliking,0.163,0.637,0.293
dislocated,0.125,0.625,0.293
dislocation,0.229,0.565,0.293
dislodge,0.214,0.769,0.293
disloyal,0.062,0.582,0.293
disloyalty,0.187,0.716,0.293
dismal,0.194,0.45,0.293
dismantle,0.347,0.644,0.293
dismay,0.314,0.681,0.293
dismayed,0.165,0.735,0.293
dismemberment,0.104,0.86,0.293
dismiss,0.167,0.541,0.293
dismissal,0.153,0.723,0.293
dismissive,0.188,0.541,0.293
dismount,0.361,0.423,0.293
disobedience,0.051,0.868,0.293
disobedient,0.276,0.706,0.293
disobey,0.143,0.556,0.293
disorder,0.115,0.816,0.293
disordered,0.21,0.714,0.293
disorderly,0.188,0.748,0.293
disorganized,0.052,0.507,0.293
disorientation,0.163,0.472,0.293
disoriented,0.227,0.643,0.293
disown,0.153,0.637,0.293
disparage,0.092,0.663,0.293
disparaging,0.102,0.626,0.293
disparate,0.438,0.5,0.293
disparity,0.208,0.482,0.293
dispassionate,0.199,0.217,0.293
dispatch,0.317,0.417,0.293
dispatcher,0.365,0.704,0.293
dispel,0.388,0.402,0.293
dispensary,0.406,0.38,0.293
dispensation,0.388,0.462,0.293
dispense,0.561,0.52,0.293
dispenser,0.583,0.392,0.293
dispersal,0.388,0.507,0.293
disperse,0.375,0.569,0.293
dispersed,0.344,0.49,0.293
dispersion,0.27,0.604,0.293
dispirited,0.204,0.28,0.293
displace,0.424,0.541,0.293
displaced,0.281,0.472,0.293
displacement,0.276,0.531,0.293
displacency,0.5,0.528,0.293
display,0.677,0.325,0.293
displease,0.021,0.702,0.293
displeased,0.135,0.69,0.293
displeasure,0.115,0.559,0.293
disposable,0.271,0.439,0.293
disposal,0.135,0.608,0.293
dispose,0.548,0.538,0.293
disposed,0.688,0.441,0.293
disposition,0.663,0.542,0.293
dispossessed,0.354,0.577,0.293
disprove,0.375,0.625,0.293
dispute,0.219,0.75,0.293
disqualification,0.066,0.677,0.293
disqualified,0.129,0.464,0.293
disqualify,0.208,0.595,0.293
disquieted,0.229,0.85,0.293
disregard,0.177,0.647,0.293
disregarded,0.26,0.458,0.293
disrelish,0.375,0.471,0.293
disreputable,0.104,0.688,0.293
disrepute,0.208,0.63,0.293
disrespect,0.062,0.637,0.293
disrespectful,0.031,0.694,0.293
disrupt,0.265,0.64,0.293
disrupting,0.186,0.557,0.293
disruption,0.235,0.735,0.293
disruptive,0.255,0.755,0.293
dissatisfaction,0.115,0.663,0.293
dissatisfied,0.042,0.561,0.293
dissect,0.367,0.75,0.293
dissection,0.276,0.632,0.293
disseminate,0.562,0.608,0.293
dissemination,0.476,0.551,0.293
dissension,0.25,0.618,0.293
dissent,0.3,0.655,0.293
dissenting,0.208,0.552,0.293
dissertation,0.312,0.575,0.293
disservice,0.25,0.794,0.293
dissident,0.35,0.582,0.293
dissimilar,0.276,0.461,0.293
dissipate,0.385,0.368,0.293
dissipated,0.281,0.421,0.293
dissociation,0.135,0.555,0.293
dissociative,0.281,0.615,0.293
dissolution,0.204,0.464,0.293
dissolve,0.271,0.49,0.293
dissonance,0.173,0.471,0.293
dissuade,0.482,0.5,0.293
distal,0.41,0.401,0.293
distance,0.233,0.317,0.293
distant,0.229,0.324,0.293
distaste,0.184,0.625,0.293
distasteful,0.264,0.676,0.293
distillate,0.5,0.347,0.293
distillation,0.396,0.436,0.293
distilled,0.427,0.573,0.293
distinct,0.542,0.578,0.293
distinction,0.584,0.571,0.293
distinctive,0.885,0.52,0.293
distinguish,0.675,0.471,0.293
distinguishable,0.635,0.53,0.293
distinguished,0.823,0.593,0.293
distinguishing,0.622,0.363,0.293
distort,0.1,0.74,0.293
distorted,0.25,0.521,0.293
distortion,0.299,0.57,0.293
distract,0.241,0.609,0.293
distracted,0.194,0.392,0.293
distracting,0.445,0.583,0.293
distraction,0.402,0.557,0.293
distraught,0.115,0.903,0.293
distress,0.073,0.84,0.293
distressed,0.143,0.771,0.293
distressing,0.075,0.75,0.293
distribute,0.643,0.596,0.293
distribution,0.635,0.548,0.293
distributor,0.702,0.447,0.293
district,0.438,0.327,0.293
distrust,0.06,0.67,0.293
disturb,0.175,0.76,0.293
disturbance,0.146,0.907,0.293
disturbed,0.125,0.87,0.293
disturbing,0.146,0.792,0.293
disuse,0.229,0.229,0.293
disused,0.25,0.302,0.293
ditch,0.357,0.364,0.293
ditto,0.449,0.418,0.293
ditty,0.47,0.433,0.293
diurnal,0.714,0.296,0.293
diva,0.66,0.657,0.293
divan,0.75,0.202,0.293
dive,0.583,0.531,0.293
diver,0.594,0.52,0.293
diverge,0.375,0.657,0.293
divergence,0.429,0.615,0.293
divergent,0.449,0.66,0.293
diverging,0.417,0.613,0.293
divers,0.583,0.58,0.293
diverse,0.562,0.519,0.293
diversified,0.602,0.538,0.293
diversify,0.656,0.588,0.293
diversion,0.74,0.821,0.293
diversionary,0.551,0.587,0.293
diversity,0.806,0.472,0.293
divert,0.344,0.622,0.293
diverting,0.396,0.571,0.293
divest,0.365,0.547,0.293
divested,0.333,0.449,0.293
divestment,0.302,0.509,0.293
divide,0.333,0.52,0.293
divided,0.271,0.623,0.293
dividend,0.583,0.491,0.293
divination,0.5,0.65,0.293
divine,0.918,0.571,0.293
divinity,0.896,0.559,0.293
divisible,0.323,0.462,0.293
division,0.37,0.481,0.293
divisor,0.344,0.517,0.293
divorce,0.042,0.7,0.293
divorcee,0.153,0.61,0.293
divulge,0.531,0.718,0.293
divvy,0.351,0.462,0.293
dizziness,0.229,0.555,0.293
dizzy,0.199,0.582,0.293
do,0.67,0.548,0.293
doable,0.76,0.404,0.293
doc,0.458,0.317,0.293
docile,0.604,0.259,0.293
dock,0.49,0.409,0.293
docked,0.281,0.754,0.293
docket,0.505,0.509,0.293
docking,0.354,0.596,0.293
doctor,0.7,0.531,0.293
doctorate,0.776,0.479,0.293
doctrinal,0.51,0.373,0.293
doctrine,0.5,0.394,0.293
document,0.594,0.24,0.293
documentary,0.622,0.213,0.293
documentation,0.719,0.29,0.293
documents,0.53,0.25,0.293
dodge,0.333,0.76,0.293
dodger,0.427,0.454,0.293
dodging,0.396,0.654,0.293
dodgy,0.281,0.51,0.293
dodo,0.438,0.306,0.293
doe,0.55,0.336,0.293
doer,0.724,0.55,0.293
dog,0.704,0.5,0.293
dogface,0.219,0.47,0.293
dogged,0.255,0.75,0.293
doggy,0.646,0.491,0.293
doghouse,0.438,0.417,0.293
dogma,0.53,0.46,0.293
dogmatic,0.448,0.52,0.293
dogsick,0.571,0.49,0.293
doings,0.604,0.491,0.293
doit,0.5,0.519,0.293
dojo,0.5,0.435,0.293
doldrums,0.229,0.425,0.293
dole,0.448,0.402,0.293
doll,0.729,0.321,0.293
dollar,0.755,0.632,0.293
dollhouse,0.643,0.245,0.293
dolor,0.167,0.635,0.293
dolphin,0.776,0.35,0.293
domain,0.573,0.549,0.293
dome,0.62,0.398,0.293
domestic,0.729,0.327,0.293
domesticated,0.635,0.36,0.293
domestication,0.594,0.39,0.293
domicile,0.604,0.292,0.293
domiciled,0.542,0.34,0.293
dominance,0.542,0.775,0.293
dominant,0.406,0.854,0.293
dominate,0.439,0.814,0.293
dominating,0.427,0.769,0.293
domination,0.505,0.786,0.293
dominatrix,0.39,0.727,0.293
dominion,0.542,0.704,0.293
domino,0.594,0.51,0.293
don,0.646,0.454,0.293
donate,0.774,0.462,0.293
donation,0.792,0.398,0.293
donkey,0.406,0.367,0.293
donor,0.714,0.49,0.293
dontlikeyou,0.055,0.5,0.293
dontmess,0.396,0.482,0.293
dontmesswithme,0.312,0.635,0.293
dontpanic,0.469,0.465,0.293
dontunderstand,0.219,0.357,0.293
doodle,0.604,0.402,0.293
doom,0.073,0.75,0.293
doomed,0.041,0.755,0.293
doomsday,0.125,0.861,0.293
door,0.549,0.189,0.293
doorbell,0.564,0.5,0.293
doorknob,0.406,0.553,0.293
doorman,0.57,0.371,0.293
doormat,0.458,0.269,0.293
doornail,0.459,0.37,0.293
doorstep,0.531,0.274,0.293
doorway,0.573,0.304,0.293
dopamine,0.548,0.469,0.293
dope,0.295,0.855,0.293
dopey,0.32,0.38,0.293
dork,0.272,0.519,0.293
dorky,0.302,0.48,0.293
dorm,0.719,0.194,0.293
dormant,0.385,0.245,0.293
dormitory,0.633,0.204,0.293
dorsal,0.449,0.36,0.293
dosage,0.344,0.45,0.293
dose,0.458,0.49,0.293
dossier,0.357,0.38,0.293
dot,0.434,0.29,0.293
doting,0.888,0.415,0.293
dotted,0.48,0.347,0.293
dotty,0.375,0.402,0.293
double,0.677,0.378,0.293
doubled,0.427,0.536,0.293
doublet,0.42,0.431,0.293
doubling,0.459,0.452,0.293
doubt,0.395,0.351,0.293
doubtful,0.25,0.465,0.293
doubting,0.224,0.56,0.293
doubtless,0.688,0.415,0.293
doubts,0.306,0.448,0.293
douche,0.49,0.413,0.293
douchebags,0.327,0.587,0.293
dough,0.588,0.229,0.293
doughboy,0.365,0.443,0.293
doughnut,0.663,0.38,0.293
dour,0.36,0.404,0.293
douse,0.365,0.453,0.293
dove,0.729,0.235,0.293
down,0.208,0.33,0.293
downcast,0.071,0.5,0.293
downer,0.12,0.594,0.293
downfall,0.2,0.717,0.293
downfield,0.521,0.33,0.293
downhearted,0.119,0.461,0.293
downhill,0.292,0.573,0.293
download,0.602,0.49,0.293
downpour,0.328,0.602,0.293
downright,0.625,0.454,0.293
downriver,0.542,0.469,0.293
downside,0.19,0.4,0.293
downtime,0.24,0.226,0.293
downward,0.188,0.347,0.293
downy,0.63,0.17,0.293
dowry,0.604,0.453,0.293
doze,0.592,0.2,0.293
dozen,0.583,0.343,0.293
